bucket,category,name,id,price,confidence,specific,needs_supplier_confirmation,assigned,image,filename,source,source_page,source_asset,label,basis,original_url
"nessuna_foto_specifica","bevande-dolci","Acqua 0,5 lt","bevande-acqua-0","1","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Il catalogo pubblico non espone una fotografia univoca per questo prodotto.",""
"nessuna_foto_specifica","bevande-dolci","Bibite in lattina","bevande-bibite-1","2.5","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Il catalogo pubblico non espone una fotografia univoca per questo prodotto.",""
"nessuna_foto_specifica","bevande-dolci","Birre artigianali","bevande-birre-3","5","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Il catalogo pubblico non espone una fotografia univoca per questo prodotto.",""
"nessuna_foto_specifica","bevande-dolci","Macedonia","bevande-macedonia-2","2.5","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Il catalogo pubblico non espone una fotografia univoca per questo prodotto.",""
"foto_specifica_fornitore","bevande-dolci","Pane e Nutella","bevande-pane-nutella-4","4","alta","true","false","true","../assets/pagnottella/images/products/dolci_pane_nutella__pane_nutella.jpg","dolci_pane_nutella__pane_nutella.jpg","fornitore-email-2026-07-24","Email La Pagnottella Gourmet del 24/07/2026","","Foto prodotto fornita dal fornitore","filename fornito dal ristoratore + contenuto coerente con il prodotto",""
"nessuna_foto_specifica","insalate-carne","Giardiniera","insalate-carne-giardiniera-0","10","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
"nessuna_foto_specifica","insalate-carne","Leggera","insalate-carne-leggera-1","9","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
"nessuna_foto_specifica","insalate-carne","Newyorkese","insalate-carne-newyorkese-6","11","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
"foto_specifica_fornitore","insalate-carne","Suprema","insalate-carne-suprema-2","10","alta","true","false","true","../assets/pagnottella/images/products/insalate_suprema__insalata_suprema.jpg","insalate_suprema__insalata_suprema.jpg","fornitore-email-2026-07-24","Email La Pagnottella Gourmet del 24/07/2026","","Foto prodotto fornita dal fornitore","filename fornito dal ristoratore + contenuto coerente con il prodotto",""
"nessuna_foto_specifica","insalate-carne","Tartare","insalate-carne-tartare-3","11","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
"nessuna_foto_specifica","insalate-carne","Trevigiana","insalate-carne-trevigiana-4","10","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
"nessuna_foto_specifica","insalate-carne","Valtellina","insalate-carne-valtellina-5","11","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
"nessuna_foto_specifica","insalate-pesce","Asiatica","insalate-pesce-asiatica-0","10","nessuna","false","false","false","../assets/pagnottella/images/optimized/logo_pagnottella.webp","","audit-completo","","","Foto specifica non disponibile","Prodotto presente nel menu testuale; non ho trovato una foto univoca sul sito pubblico.",""
