product_id,product_name,category,source_filename,final_filename,local_path,menu_img_path,mapping_type,confidence,needs_supplier_confirmation,notes
panini-carne-brontolo-2,Brontolo,Panini carne,brontolo.jpeg,panini_brontolo__panino_brontolo.jpg,assets/pagnottella/images/products/panini_brontolo__panino_brontolo.jpg,../assets/pagnottella/images/products/panini_brontolo__panino_brontolo.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
panini-carne-goloso-10,Goloso,Panini carne,goloso.jpeg,panini_goloso__panino_goloso.jpg,assets/pagnottella/images/products/panini_goloso__panino_goloso.jpg,../assets/pagnottella/images/products/panini_goloso__panino_goloso.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
panini-carne-montanaro-13,Montanaro,Panini carne,montanaro.jpeg,panini_montanaro__panino_montanaro.jpg,assets/pagnottella/images/products/panini_montanaro__panino_montanaro.jpg,../assets/pagnottella/images/products/panini_montanaro__panino_montanaro.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
panini-carne-newyorkese-14,Newyorkese,Panini carne,newyorkese_CMYK.jpeg,panini_newyorkese__panino_newyorkese.jpg,assets/pagnottella/images/products/panini_newyorkese__panino_newyorkese.jpg,../assets/pagnottella/images/products/panini_newyorkese__panino_newyorkese.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
panini-pesce-mediterraneo-5,Mediterraneo,Panini pesce,mediterraneo.jpeg,panini_mediterraneo__panino_mediterraneo.jpg,assets/pagnottella/images/products/panini_mediterraneo__panino_mediterraneo.jpg,../assets/pagnottella/images/products/panini_mediterraneo__panino_mediterraneo.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
panini-pesce-messicano-6,Messicano,Panini pesce,messicano_3.jpeg,panini_messicano__panino_messicano.jpg,assets/pagnottella/images/products/panini_messicano__panino_messicano.jpg,../assets/pagnottella/images/products/panini_messicano__panino_messicano.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
bevande-pane-nutella-4,Pane e Nutella,Dolci,Nutella.jpeg,dolci_pane_nutella__pane_nutella.jpg,assets/pagnottella/images/products/dolci_pane_nutella__pane_nutella.jpg,../assets/pagnottella/images/products/dolci_pane_nutella__pane_nutella.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
speciali-apollo-0,Apollo,Speciali,apollo_2.jpeg,speciali_apollo__apollo.jpg,assets/pagnottella/images/products/speciali_apollo__apollo.jpg,../assets/pagnottella/images/products/speciali_apollo__apollo.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
insalate-veg-reginella-4,Reginella,Insalate vegetariane,reginella_3.jpeg,insalate_reginella__insalata_reginella.jpg,assets/pagnottella/images/products/insalate_reginella__insalata_reginella.jpg,../assets/pagnottella/images/products/insalate_reginella__insalata_reginella.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
insalate-veg-ortolana-3,Ortolana,Insalate vegetariane,ortolana_CMYK.jpeg,insalate_ortolana__insalata_ortolana.jpg,assets/pagnottella/images/products/insalate_ortolana__insalata_ortolana.jpg,../assets/pagnottella/images/products/insalate_ortolana__insalata_ortolana.jpg,foto_specifica_fornitore,alta,False,Foto fornita dal fornitore nella mail del 24/07/2026.
