bucket,category,name,id,price,confidence,specific,needs_supplier_confirmation,assigned,image,filename,source,source_page,source_asset,label,basis,original_url
"foto_specifica_o_quasi_specifica","insalate-pesce","Baccala","insalate-pesce-baccala-1","12","alta","true","false","true","../assets/pagnottella/images/products/insalate_baccala__insalata_baccala.jpg","insalate_baccala__insalata_baccala.jpg","mapping-1to1","Home","home_baccala_insalata","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1733913547258-U44KCIU4E8WMLA1A6W8Z/baccala_insalata.jpg"
"foto_specifica_o_quasi_specifica","insalate-pesce","Cefalu","insalate-pesce-cefalu-2","11","alta","true","false","true","../assets/pagnottella/images/products/insalate_cefalu__insalata_cefalu.jpg","insalate_cefalu__insalata_cefalu.jpg","mapping-1to1","Insalate","insalata_cefalu_dscf9302","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1687341646194-RUG4C2J6ZQBUI485YMKR/DSCF9302.jpg"
"foto_specifica_o_quasi_specifica","insalate-pesce","Salentina","insalate-pesce-salentina-12","11","alta","true","false","true","../assets/pagnottella/images/products/insalate_salentina__insalata_salentina.jpg","insalate_salentina__insalata_salentina.jpg","mapping-1to1","Insalate","insalata_salentina_dscf3962","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1687341641448-ERIUQ6ZDTVGB0K9D0OEJ/DSCF3962.jpg"
"foto_specifica_o_quasi_specifica","insalate-pesce","Trapanese","insalate-pesce-trapanese-17","10","alta","true","false","true","../assets/pagnottella/images/products/insalate_trapanese__insalata_trapanese.jpg","insalate_trapanese__insalata_trapanese.jpg","mapping-1to1","Insalate","insalata_trapanese","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1687341597598-9O2HBC5LSQNYBC3SG687/trapanese.jpg"
"foto_specifica_o_quasi_specifica","insalate-veg","Reginella","insalate-veg-reginella-4","12","alta","true","false","true","../assets/pagnottella/images/products/insalate_reginella__insalata_reginella.jpg","insalate_reginella__insalata_reginella.jpg","mapping-1to1","Insalate","insalata_reginella_dscf7331","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1687341540039-MUG7YLZM6E4THD2RNKXH/DSCF7331.jpg"
"foto_specifica_o_quasi_specifica","panini-carne","Saporito","panini-carne-saporito-21","8","alta","true","false","true","../assets/pagnottella/images/products/panini_saporito__panino_saporito.jpg","panini_saporito__panino_saporito.jpg","mapping-1to1","Home","home_saporito","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/416fa1ae-6eef-441f-9031-1bb2374d295f/saporito.jpg"
"foto_specifica_o_quasi_specifica","panini-carne","Tartare","panini-carne-tartare-24","10","alta","true","false","true","../assets/pagnottella/images/products/panini_tartare__panino_tartare.jpg","panini_tartare__panino_tartare.jpg","mapping-1to1","Home","home_tartare","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1708349693859-NY2MW1I5AZGLNHSEAUFQ/tartare.jpg"
"foto_specifica_o_quasi_specifica","panini-carne","Toscanaccio","panini-carne-toscanaccio-27","9","alta","true","false","true","../assets/pagnottella/images/products/panini_toscanaccio__panino_toscanaccio.jpg","panini_toscanaccio__panino_toscanaccio.jpg","mapping-1to1","Home","home_toscanaccio","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1708349844523-PM8UKIU0C2V7OSB5J32P/toscanaccio.jpg"
"foto_specifica_o_quasi_specifica","panini-pesce","Baccala","panini-pesce-baccala-10","10","alta","true","false","true","../assets/pagnottella/images/products/panini_baccala__panino_baccala.jpg","panini_baccala__panino_baccala.jpg","mapping-1to1","Home","home_baccala_panino","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1733913550178-57I6DBH7IDA5ZAKY2YKO/baccala_panino.jpg"
"foto_specifica_o_quasi_specifica","panini-veg","Burrata","panini-veg-burrata-0","9","alta","true","false","true","../assets/pagnottella/images/products/panini_burrata__panino_burrata.jpg","panini_burrata__panino_burrata.jpg","mapping-1to1","Panini","panini_burrata_dscf8503","Foto prodotto","Associazione gia presente nella mappatura originale: nome file ufficiale o corrispondenza visiva forte.","https://images.squarespace-cdn.com/content/v1/5bc46325d7819e67da2eef74/1687337806242-QRTKSCRHFYN3AQS4L821/DSCF8503.jpg"
